,x_m,y_m
0,0.0,0.0
1,0.5877106984109753,-0.010265711553988222
2,1.1763634833432477,-0.017475402166699454
3,1.7658599905233,-0.021948154292821265
4,2.356101855677614,-0.024003050387041213
5,2.946990714532672,-0.023959172904046866
6,3.538428202814956,-0.022135604298525777
7,4.13031595625095,-0.018851427025165516
8,4.722555610567134,-0.014425723538653644
9,5.315048801489989,-0.009177576293677728
10,5.907697164746004,-0.0034260677449253346
11,6.500402336061655,0.0025097196529159887
12,7.093065951163426,0.008310703445158664
13,7.685589645777799,0.013657801177115137
14,8.277875055631258,0.01823193039409786
15,8.869823816450284,0.021714008641419234
16,9.461337563961358,0.023784953464391717
17,10.052317933890965,0.024125682408327753
18,10.642666561965585,0.02241711301853977
19,11.232285083911705,0.018340162840340193
20,11.8210751354558,0.011575749419041485
21,12.408938352324357,0.0018047902999560814
22,12.995835706908125,-0.0110993156182625
23,13.582108539520275,-0.026029299394192046
24,14.168248304843999,-0.041390938236661914
25,14.754746824246881,-0.055588819872234296
26,15.342095919096511,-0.06702753202747139
27,15.930787410760479,-0.07411166242893538
28,16.521313120606372,-0.0752457988031884
29,17.11416487000178,-0.0688345288767927
30,17.70983448031429,-0.053282440376310414
31,18.308813772911485,-0.026994121028303786
32,18.911587044813626,0.011601433318371854
33,19.51786764546271,0.06157436103392869
34,20.125941345099903,0.11736389681422085
35,20.733939222528377,0.17290747402018528
36,21.339992356551285,0.22214252601275766
37,21.942231825971806,0.2590064861528749
38,22.538788709593092,0.2774367878014731
39,23.12779408621831,0.27137086431948815
40,23.70737903465062,0.23474614906785696
41,24.275674633693196,0.1615000754075151
42,24.83081196214919,0.045570076699400275
43,25.37111960683517,-0.11847396594872418
44,25.897038940953035,-0.32929673965756917
45,26.410292175442642,-0.581461513445897
46,26.912619459870093,-0.8694741143909629
47,27.40576094380148,-1.1878403695700157
48,27.89145677680291,-1.5310661060603123
49,28.371447108440485,-1.8936571509391027
50,28.847472088280295,-2.2701193312836363
51,29.321271865888455,-2.6549584741711714
52,29.794586590831052,-3.0426804066789543
53,30.2691564126742,-3.4277909558842437
54,30.746721480983986,-3.804795948864288
55,31.22902194532652,-4.168201212696339
56,31.717797955267898,-4.512512574457652
57,32.21478966037422,-4.8322358612254765
58,32.72170742285809,-5.121963779352094
59,33.23931018851551,-5.379063983575378
60,33.76722874372891,-5.6041945744244295
61,34.30502841690118,-5.798204570423037
62,34.85227453643529,-5.961942990094997
63,35.40853243073418,-6.096258851964104
64,35.973367428200795,-6.202001174554153
65,36.54634485723806,-6.280018976388936
66,37.12703004624894,-6.331161275992249
67,37.71498832363636,-6.356277091887885
68,38.309785017803264,-6.3562154425996376
69,38.9109854571526,-6.3318253466513035
70,39.5181549700873,-6.283955822566674
71,40.13085888501032,-6.213455888869546
72,40.74866253032458,-6.121174564083711
73,41.37113123443305,-6.007960866732963
74,41.997830325738654,-5.8746638153411
75,42.62832513264434,-5.7221324284319115
76,43.26218098355305,-5.551215724529192
77,43.89896320686772,-5.362762722156741
78,44.53823713099129,-5.157622439838344
79,45.17953996458928,-4.9366486647444
80,45.81982845965558,-4.701132787204027
81,46.45143832885677,-4.4531498500790585
82,47.06622509106671,-4.194856329228364
83,47.65604426515929,-3.9284087005108206
84,48.21275137000836,-3.655963439785293
85,48.72820192448781,-3.37967702291065
86,49.194251447471494,-3.1017059257457675
87,49.6027554578333,-2.8242066241495127
88,49.94556947444708,-2.5493355939807545
89,50.21553847191328,-2.2790021452243683
90,50.412392540691805,-2.013395687082045
91,50.538787983132714,-1.7519746615177165
92,50.59739180759638,-1.4941948361357251
93,50.5908710224432,-1.2395119785404238
94,50.52189263603356,-0.9873818563361546
95,50.39312365672784,-0.7372602371272615
96,50.207231092886424,-0.4886028885180967
97,49.96688195286972,-0.24086557811300263
98,49.67474324503808,0.006495926483677417
99,49.333481977751916,0.2540258576675908
100,48.94576515937161,0.5022684478343947
101,48.514259798257555,0.7517679293797458
102,48.041632902770125,1.0030685346992922
103,47.5305514812697,1.2567144961886907
104,46.98368254211668,1.5132500462435952
105,46.40369309367146,1.7732194172596625
106,45.79325014429441,2.0371668416325406
107,45.155020702345915,2.3056365517578854
108,44.49167177618638,2.5791727800313557
109,43.80587037417617,2.858319758848598
110,43.100283504675694,3.1436217206052683
111,42.37757817604532,3.435622897697022
112,41.640421396645436,3.7348675225195196
113,40.891480174836445,4.041899827468401
114,40.133421518978714,4.357264044939327
115,39.36891243743265,4.681504407327951
116,38.60061993855862,5.015165147029927
117,37.83121103071703,5.35879049644091
118,37.06335272226825,5.712924687956552
119,36.299712021572645,6.078111953972517
120,35.54295593699065,6.454896526884442
121,34.79575147688264,6.843822639087986
122,34.06076564960898,7.245434522978808
123,33.34066546353007,7.660276410952557
124,32.638117927006306,8.088892535404892
125,31.955790048398036,8.531827128731472
126,31.296348836065697,8.989624423327932
127,30.662461298369653,9.462828651589938
128,30.05679444367028,9.951984045913143
129,29.48174662723019,10.45730627684563
130,28.93827900133524,10.977253320461752
131,28.426874111211504,11.509697817989085
132,27.948014175915247,12.052512011750677
133,27.50218141450278,12.603568144069518
134,27.089858046030372,13.160738457268653
135,26.711526289554303,13.72189519367111
136,26.367668364130868,14.284910595599912
137,26.058766488816335,14.847656905378084
138,25.785302882666993,15.408006365328673
139,25.54775976473913,15.963831217774672
140,25.34661935408903,16.51300370503912
141,25.182363869772974,17.053396069445053
142,25.055475530847243,17.58288055331549
143,24.96643655636812,18.099329398973452
144,24.915729165391888,18.600614848741984
145,24.903835576974835,19.08460914494411
